16:58:20.232 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.55]
16:58:20.265 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
16:58:20.265 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 593 ms
16:58:20.473 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
16:58:20.481 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
16:58:20.492 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
16:58:20.497 [restartedMain] INFO  lab.springboot.dummy.LabSpringbootDummyApplication - Started LabSpringbootDummyApplication in 1.138 seconds (JVM running for 1.703)
16:58:20.499 [restartedMain] INFO  lab.springboot.dummy.InitialApplication - [InitialApplication] AAA
16:58:20.499 [restartedMain] INFO  lab.springboot.dummy.InitialApplication - [properties.name] internal
16:59:15.094 [restartedMain] INFO  lab.springboot.dummy.LabSpringbootDummyApplication - Starting LabSpringbootDummyApplication using Java 11.0.12 on pc1 with PID 36808 (C:\Users\rojar\eclipse-workspace\lab-springboot-dummy\bin\main started by rojar in C:\Users\rojar\eclipse-workspace\lab-springboot-dummy)
16:59:15.094 [restartedMain] INFO  lab.springboot.dummy.LabSpringbootDummyApplication - No active profile set, falling back to default profiles: default
16:59:15.215 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
16:59:15.216 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
16:59:15.216 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
16:59:15.216 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.55]
